Date, Open, High, Low, Close, Volume
10/14/22, 67.26, 67.45, 63.78, 63.92, 19453090
10/13/22, 63.06, 70.20, 62.32, 66.62, 36639340
10/12/22, 63.60, 64.23, 63.365, 64.11, 16468680
10/11/22, 64.20, 64.91, 62.62, 63.45, 28699311
10/10/22, 69.85, 69.88, 67.01, 67.44, 16042220
10/07/22, 71.81, 72.03, 69.75, 69.75, 14758620
10/06/22, 73.97, 74.92, 73.86, 74.35, 11796840
10/05/22, 72.92, 74.91, 72.58, 74.48, 14037150
10/04/22, 70.80, 72.9294, 70.72, 72.81, 14900690
10/03/22, 68.08, 69.5675, 67.65, 69.25, 11945090
09/30/22, 67.81, 69.65, 67.74, 68.56, 10472370
09/29/22, 70.52, 70.68, 68.48, 69.28, 16120330
09/28/22, 71.11, 72.29, 70.70, 72.13, 12943620
09/27/22, 73.51, 74.04, 72.35, 73.03, 12430580
09/26/22, 73.47, 74.19, 72.92, 73.01, 13441490
09/23/22, 74.30, 74.39, 73.09, 73.87, 12685530
09/22/22, 76.45, 76.75, 75.355, 75.63, 10817850
09/21/22, 77.58, 79.31, 77.14, 77.14, 10869000
09/20/22, 77.54, 78.435, 77.51, 78.15, 8202782
09/19/22, 76.55, 78.23, 76.545, 78.23, 10378600
09/16/22, 77.11, 78.00, 76.92, 77.89, 10604540
09/15/22, 78.58, 79.25, 77.67, 77.98, 10533050
09/14/22, 79.74, 80.155, 78.98, 79.66, 8849582
09/13/22, 80.42, 81.14, 78.515, 78.81, 12835060
09/12/22, 81.97, 82.495, 81.76, 82.15, 7903004
09/09/22, 80.83, 81.66, 80.74, 81.53, 7086204
09/08/22, 79.01, 80.735, 78.77, 80.24, 8181692
09/07/22, 78.39, 80.175, 78.23, 79.95, 9843466
09/06/22, 81.03, 81.03, 79.52, 80.03, 12428300
09/02/22, 81.55, 82.98, 80.61, 80.90, 8850116
09/01/22, 81.45, 81.83, 80.12, 81.64, 11565970
08/31/22, 84.11, 84.87, 83.0625, 83.35, 8887148
08/30/22, 83.78, 83.98, 81.73, 82.79, 8392293
08/29/22, 83.91, 84.32, 82.78, 82.85, 9639661
08/26/22, 87.50, 87.79, 84.65, 84.74, 9381506
08/25/22, 86.33, 87.59, 86.01, 87.57, 6602130
08/24/22, 85.80, 86.13, 85.20, 85.56, 7085798
08/23/22, 85.16, 86.595, 84.99, 86.03, 8462474
08/22/22, 85.41, 86.03, 84.94, 85.24, 8053958
08/19/22, 88.50, 88.59, 87.015, 87.20, 9602761
08/18/22, 88.71, 89.67, 88.415, 89.27, 10947700
08/17/22, 89.00, 89.77, 88.48, 89.20, 9093091
08/16/22, 91.14, 91.35, 88.5681, 89.95, 10566120
08/15/22, 90.01, 91.94, 90.00, 91.57, 15949520
08/12/22, 89.68, 91.35, 89.64, 90.86, 12098830
08/11/22, 89.96, 91.00, 89.31, 89.52, 11158790
08/10/22, 86.81, 88.67, 86.31, 88.67, 10704580
08/09/22, 86.94, 87.14, 84.44, 85.21, 13075010
08/08/22, 88.98, 89.10, 86.91, 87.94, 12122330
08/05/22, 88.03, 90.975, 88.01, 89.77, 13293500
08/04/22, 87.00, 88.42, 86.62, 88.42, 13472520
08/03/22, 85.96, 86.77, 84.555, 86.51, 20779410
08/02/22, 84.52, 87.51, 84.17, 86.05, 15541620
08/01/22, 85.30, 86.89, 84.30, 86.31, 20102609
07/29/22, 87.82, 89.21, 87.79, 88.48, 10366200
07/28/22, 87.13, 88.62, 86.45, 88.61, 10668230
07/27/22, 85.31, 87.90, 85.31, 87.63, 9399496
07/26/22, 84.76, 85.20, 83.845, 84.42, 6977686
07/25/22, 86.30, 86.70, 85.63, 86.30, 5960949
07/22/22, 87.41, 87.73, 85.80, 86.32, 8612137
07/21/22, 86.68, 87.795, 86.40, 87.79, 7134954
07/20/22, 85.18, 86.752, 85.11, 86.56, 11664800
07/19/22, 85.00, 86.47, 84.564, 86.15, 10673130
07/18/22, 86.06, 86.08, 83.37, 83.58, 11352460
07/15/22, 85.58, 86.04, 83.965, 85.63, 14061050
07/14/22, 82.95, 84.04, 80.51, 83.67, 23377010
07/13/22, 79.28, 81.72, 78.90, 81.29, 14706500
07/12/22, 81.16, 81.48, 78.93, 79.10, 10363670
07/11/22, 79.77, 80.27, 78.82, 79.11, 9527709
07/08/22, 79.92, 82.16, 79.76, 81.51, 10004170
07/07/22, 78.60, 80.96, 78.34, 80.65, 15847750
07/06/22, 74.29, 76.30, 73.78, 75.56, 11530530
07/05/22, 74.55, 76.15, 73.74, 76.11, 22270971
07/01/22, 79.04, 79.22, 76.18, 77.00, 19531699
06/30/22, 81.46, 82.22, 80.12, 81.75, 14201620
06/29/22, 84.43, 84.61, 83.33, 83.65, 7981289
06/28/22, 86.15, 86.81, 84.34, 84.34, 8290894
06/27/22, 86.92, 87.00, 85.58, 85.86, 7358017
06/24/22, 84.15, 86.55, 84.15, 85.92, 10670090
06/23/22, 84.13, 84.23, 82.755, 84.12, 10370300
06/22/22, 84.64, 86.1753, 84.55, 84.91, 7873518
06/21/22, 86.00, 87.75, 86.00, 86.95, 9603974
06/17/22, 85.00, 85.60, 83.95, 85.00, 9735491
06/16/22, 85.22, 85.93, 83.99, 84.52, 10505200
06/15/22, 87.51, 89.81, 87.37, 89.13, 11742540
06/14/22, 86.74, 87.88, 86.2899, 87.19, 10449550
06/13/22, 86.06, 86.83, 85.015, 85.55, 14603690
06/10/22, 90.54, 90.72, 88.625, 88.68, 10463740
06/09/22, 93.00, 93.50, 90.80, 90.85, 8091123
06/08/22, 94.00, 94.9299, 93.14, 93.47, 6446275
06/07/22, 92.67, 93.86, 91.77, 93.84, 7360186
06/06/22, 95.00, 95.54, 92.865, 93.11, 9440246
06/03/22, 94.36, 94.5829, 92.90, 93.77, 9137134
06/02/22, 93.99, 96.37, 93.6201, 96.34, 6334967
06/01/22, 95.60, 96.36, 93.825, 94.75, 6152366
05/31/22, 95.54, 96.29, 94.51, 95.30, 9621699
05/27/22, 92.62, 93.818, 92.53, 93.77, 6279008
05/26/22, 89.41, 91.365, 89.0378, 91.00, 9762724
05/25/22, 89.33, 90.92, 89.04, 90.41, 9113503
05/24/22, 89.52, 89.80, 88.52, 88.72, 8788577
05/23/22, 91.02, 91.91, 90.65, 91.50, 6920473
05/20/22, 93.04, 93.04, 88.83, 90.78, 10469940
05/19/22, 89.84, 92.10, 89.5586, 90.21, 7738979
05/18/22, 92.07, 93.23, 90.37, 90.53, 9610923
05/17/22, 93.30, 93.49, 92.37, 93.32, 7668780
05/16/22, 89.87, 91.37, 89.50, 90.41, 6729129
05/13/22, 88.87, 91.36, 88.16, 90.96, 11180640
05/12/22, 86.22, 88.21, 85.39, 87.69, 11592850
05/11/22, 88.87, 90.57, 87.80, 87.83, 11531270
05/10/22, 90.02, 90.29, 88.09, 88.82, 11690450
05/09/22, 89.94, 90.19, 87.01, 87.30, 11428620
05/06/22, 91.40, 92.88, 90.27, 91.63, 7944884
05/05/22, 94.04, 94.38, 91.22, 92.15, 11517240
05/04/22, 93.91, 96.07, 91.915, 95.99, 9082506
05/03/22, 92.78, 94.045, 92.51, 93.63, 9511887
05/02/22, 92.50, 94.273, 91.24, 93.76, 8251931
04/29/22, 93.18, 95.59, 92.77, 92.93, 10629320
04/28/22, 92.16, 96.20, 91.78, 95.22, 15176160
04/27/22, 91.84, 92.69, 90.22, 90.26, 15846300
04/26/22, 94.94, 95.0237, 92.77, 92.77, 14175990
04/25/22, 95.05, 96.28, 94.45, 96.24, 10654400
04/22/22, 97.03, 97.79, 95.36, 95.68, 11650100
04/21/22, 99.75, 100.65, 97.41, 97.66, 13038540
04/20/22, 100.40, 101.00, 98.90, 99.01, 8596861
