Date, Open, High, Low, Close
10/13/2022,1464.68,1510.36,1423.57,1501.59
10/12/2022,1474.77,1477.9,1448.35,1464.68
10/11/2022,1484.97,1499.73,1461.12,1474.77
10/10/2022,1468.95,1497.65,1468.95,1484.97
10/7/2022,1486.24,1494.61,1463.41,1468.95
10/6/2022,1509.75,1510.03,1480.95,1486.24
10/5/2022,1518.65,1519.13,1484.22,1509.75
10/4/2022,1458.37,1519.69,1458.37,1518.65
10/3/2022,1372.04,1463.98,1372.04,1458.37
9/30/2022,1371.59,1399.47,1354.48,1372.03
9/29/2022,1395.9,1395.9,1353.28,1371.59
9/28/2022,1368.29,1402.52,1359.94,1395.9
9/27/2022,1343.26,1385.24,1343.26,1368.29
9/26/2022,1375.74,1384.48,1340.92,1343.26
9/23/2022,1439.03,1439.03,1357.6,1375.74
9/22/2022,1430.52,1463.64,1430.52,1439.03
9/21/2022,1458.59,1475.71,1430.52,1430.52
9/20/2022,1490.95,1490.95,1445.37,1458.59
9/19/2022,1449.24,1495.49,1427.63,1490.95
9/16/2022,1457.23,1457.23,1432.11,1449.24
9/15/2022,1466.5,1481.05,1450.53,1457.23
9/14/2022,1531.75,1531.75,1451.67,1466.5
9/13/2022,1598.49,1598.49,1526.72,1531.75
9/12/2022,1595.49,1620.67,1593.74,1598.49
9/9/2022,1519.28,1596.69,1519.28,1595.5
9/8/2022,1506.22,1524.05,1488.33,1519.28
9/7/2022,1493.14,1510.62,1459,1506.22
9/6/2022,1486.74,1511.87,1482.33,1493.14
9/2/2022,1479.72,1522.16,1479.72,1486.74
9/1/2022,1524.06,1524.06,1456.45,1479.72
8/31/2022,1548.73,1548.73,1519.75,1524.06
8/30/2022,1610.32,1610.32,1543.39,1548.73
8/29/2022,1613.25,1632.1,1593.5,1610.32
8/26/2022,1646.4,1662.52,1612.69,1613.25
8/25/2022,1597.03,1646.45,1597.03,1646.4
8/24/2022,1605.58,1605.58,1575.84,1597.03
8/23/2022,1550.85,1615.74,1550.85,1605.58
8/22/2022,1578.16,1578.16,1543.18,1550.85
8/19/2022,1619.96,1619.96,1569.85,1578.16
8/18/2022,1611.47,1625.45,1611.47,1619.96
8/17/2022,1646.71,1646.71,1604.24,1611.47
8/16/2022,1628.37,1654.42,1628.37,1646.71
8/15/2022,1653.55,1653.55,1598.09,1628.37
8/12/2022,1634.84,1658.68,1626.67,1653.55
8/11/2022,1631.17,1669.6,1631.17,1634.84
8/10/2022,1595.65,1635.84,1595.65,1631.17
8/9/2022,1573.62,1595.67,1572.76,1595.65
8/8/2022,1563.23,1601.19,1563.23,1573.62
8/5/2022,1533.14,1580.06,1521.53,1563.23
8/4/2022,1515.84,1550.94,1505.39,1533.14
8/3/2022,1532.48,1534.23,1510.18,1515.84
8/2/2022,1553.97,1553.97,1506.91,1532.48
8/1/2022,1569.47,1569.47,1539.52,1553.97
7/29/2022,1531.41,1573.17,1531.08,1569.48
7/28/2022,1510.9,1536.99,1504.6,1531.41
7/27/2022,1472.55,1515.23,1457.97,1510.9
7/26/2022,1476.71,1480.99,1456.05,1472.54
7/25/2022,1429.29,1481.65,1429.29,1476.71
7/22/2022,1463.31,1486.28,1423.1,1429.29
7/21/2022,1442.19,1463.31,1426.22,1463.31
7/20/2022,1445.08,1445.08,1423.68,1442.19
