Open,Close,High,Low,Volume,Date
8.1625,8.16,8.235,8.11,,04/28/22
8.0275,8.155,8.2025,7.975,,04/27/22
8.0025,8.0325,8.1225,7.95,,04/26/22
7.9675,8.0025,8.02,7.8475,,04/25/22
7.9875,7.93,8.075,7.835,,04/22/22
8.14,7.9925,8.1425,7.975,,04/21/22
8.035,8.1575,8.165,7.9675,,04/20/22
8.1325,8.04,8.1975,7.9975,,04/19/22
7.91,8.1325,8.1675,7.9025,,04/18/22
7.835,7.9025,7.93,7.81,,04/14/22
7.75,7.835,7.8625,7.6725,,04/13/22
7.655,7.7625,7.79,7.65,,04/12/22
7.67,7.645,7.78,7.62,,04/11/22
7.57,7.6875,7.73,7.5275,,04/08/22
7.5575,7.5775,7.5925,7.485,,04/07/22
7.5975,7.565,7.615,7.5025,,04/06/22
7.5075,7.5975,7.68,7.4925,,04/05/22
7.37,7.505,7.5225,7.3475,,04/04/22
7.485,7.35,7.515,7.3025,,04/01/22
7.3925,7.4875,7.7,7.325,,03/31/22
7.27,7.38,7.4875,7.2675,,03/30/22
7.4625,7.2625,7.475,7.135,,03/29/22
7.49,7.485,7.5025,7.405,,03/28/22
7.485,7.54,7.5525,7.425,,03/25/22
7.57,7.4825,7.625,7.45,,03/24/22
7.5225,7.5775,7.705,7.49,,03/23/22
7.5675,7.53,7.61,7.44,,03/22/22
7.465,7.5625,7.65,7.43,,03/21/22
7.5375,7.4175,7.55,7.365,,03/18/22
7.3,7.545,7.575,7.285,,03/17/22
7.5675,7.3,7.57,7.2675,,03/16/22
0,7.58,7.59,7.36,,03/15/22
7.45,7.2825,7.52,7.255,,03/14/22
7.58,7.645,7.685,7.55,,03/11/22
7.385,7.5775,7.68,7.385,,03/10/22
7.5625,7.35,7.5725,7.34,,03/09/22
7.475,7.545,7.59,7.24,,03/08/22
7.8275,7.4925,7.8275,7.4275,,03/07/22
7.6175,7.565,8,7.41,,03/04/22
7.45,7.5125,7.785,7.45,,03/03/22
7.4175,7.39,7.6,7.23,,03/02/22
6.9975,7.3975,7.4425,6.9975,,03/01/22
6.88,6.975,7.0475,6.79,,02/28/22
6.9675,6.595,7.07,6.57,,02/25/22
6.835,6.95,7.1875,6.82,,02/24/22
6.74,6.8375,6.85,6.6925,,02/23/22
